GRB	BAT T90 [sec]
161214B	24.8
161202A	n/a
161129A	35.53
161117B	152.51
161117A	125.7
161113A	42.60
161108A	105.1
161105A	177.3
161104A	0.1
161022A	7.3
161017A	216.3
161014A	18.3
161011A	4.3
161007A	201.7
161004B	15.9
161004A	~1.3 to ~3
161001A	2.6
160927A	0.48
160917A	16
160912A	n/a
160905A	64
160827A	13.3
160826A	52.6
160824A	99.3
160821B	0.48
160821A	n/a
160815A	8.6
160804A	144.2
160801A	2.85
160726A	0.7
160716A	6.39
160714A	0.35
160712A	n/a
160709A	4.8
160705B	54.4
160703A	44.4
160630A	29.50
160625A	53.9
160624A	0.2
160612A	n/a
160611A	34.1
160607A	33.4
160601A	0.12
160525B	0.29
160525A	n/a
160519A	35.57
160506A	254.5
160504A	53.9
160501A	118
160425A	304.58
160424A	6.3
160419A	8.8
160417A	15
160412A	31.6
160411A	0.36
160410A	8.2
160409A	n/a
160408A	0.32
160327A	28
160325A	64.9
160321A	33.6
160314A	8.73
160313A	42.6
160303A	5.0
160228A	98.36
160227A	316.5
160225A	157
160223A	127
160220B	31.4
160220A	8.3
160216A	11.0
160203A	20.2
160131A	325
160127A	6.16
160123A	3.95
160121A	12.0
160119A	116
160117B	n/a
160117A	118.58
160104A	16.2
151229A	1.78
151228B	48.0
151228A	0.27
151215A	17.8
151210A	94.9
151205B	1.4
151205A	62.8
151127A	0.19
151122A	n/a
151118A	23.4
151114A	4.86
151112A	19.32
151111A	76.93
151107A	n/a
151031A	5.00
151029A	8.95
151027B	80.00
151027A	129.69
151023A	10.66
151022A	116.7
151021A	110.2
151006A	203.9
151004A	128.40
151001B	109
151001A	8.94
150925A	121
150915A	164.7
150911A	7.2
150910A	112.2
150907B	62.0
150901A	64.0
150831B	6.2
150831A	1.15
150821A	172.1
150819A	52.1
150818A	123.3
150817A	38.8
150811A	34.00
150801B	426
150728A	0.83
150727A	88
150724A	280
150722A	67
150720A	151
150716A	44
150711A	64.2
150710B	15
150710A	0.15
150626B	48.0
150626A	144
150616A	599.5
150615A	27.6
150607A	26.3
150530B	n/a
150530A	6.62
150527A	112
150513A	162
150430A	107.1
150428B	130.9
150428A	53.2
150424A	91
150423A	0.22
150413A	263.6
150407A	n/a
150403A	40.90
150402A	14
150323C	159.4
150323B	~60
150323A	149.6
150318A	83.88
150317A	23.29
150314A	14.79
150309A	242
150302A	23.74
150301B	12.44
150301A	0.48
150222A	15.90
150213B	181
150212A	11.4
150211A	13.6
150206A	83.2
150204A	12
150203A	25.8
150202A	25.7
150201A	26.1
150120B	24.30
150120A	1.20
150110B	10.6
150103A	49.1
150101B	0.018
150101A	0.060
141229A	7
141225A	40.24
141221A	36.9
141220A	7.21
141212B	10.5
141212A	0.30
141205A	1.1
141130A	62.9
141121A	549.9
141109B	54.2
141109A	200
141102A	2.5
141031B	16.0
141031A	920
141026A	146
141022A	8.72
141020A	15.55
141017A	55.7
141015A	11.0
141005A	4.34
141004A	3.92
140930B	0.84
140927A	6.26
140919A	151.3
140916A	80.1
140909A	n/a
140907A	79.2
140903A	0.30
140901B	10
140828A	18.8
140824A	3.09
140818B	18.1
140817A	244
140730A	41.3
