
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
PGC-6240        nid               1.6919139  -65.6159851  S0     113.00   18.10   Hubble        0.056  -21.400   0.200 -24.654   0.106     210.0    20.0   66         249.10   46.50    nd      nd      nd       nd       7.78    0.04    nd      nd      nd  
UGC-1281        nid               1.8256556   32.5862222  Sdm      5.13    0.50   TRGB          0.128  -15.300   0.200 -15.553   0.146       2.0     2.0   37           nd      nd      nd      nd      nd       nd       5.46    0.30    nd      nd      nd  
NGC708         A262-BCG           1.8795946   36.1519464  E       47.07    2.86   SBF           0.241  -22.130   0.200 -24.816   0.103    4700.0  1000.0   7/74       229.80    9.70   17.60    1.07   11.937    0.036    9.18    0.08    nd      nd      nd  
NGC720          nid               1.8834808  -13.7385764  E       27.67    2.25   SBF           0.054  -22.080   0.230 -24.945   0.103     660.0   190.0   57         241.10    6.70    4.84    0.39   11.418    0.037    8.32    0.11    nd      nd      nd  
NGC784          nid               2.0213931   28.8372361  SBdm     5.45    0.50   TRGB          0.162  -16.870   0.200 -18.413   0.123       6.0     2.0   37           nd      nd      nd      nd      nd       nd       6.00    0.12    nd      nd      nd  
NGC821          nid               2.1391988   10.9950077  E6      23.38    1.24   SBF           0.364  -21.530   0.200 -23.984   0.102     320.0    45.0   93         209.00   10.00    5.64    0.30   11.361    0.036    7.97    0.06    8.23    0.16    0.25
NGC891          nid               2.3759783   42.3471230  Sb       8.36    0.56   SBF           0.178  -21.400   0.200 -23.692   0.101      70.0    20.0   83          73.10   10.20    5.43    0.36   10.431    0.082    7.31    0.11    nd      nd      nd  
NGC910         A347-1             2.4241190   41.8243920  E       71.40    5.00   Hubble        0.190  -22.290   0.220 -25.088   0.104    4245.0  1100.0   7          249.20    8.00    9.26    0.65   11.728    0.035    9.14    0.10    nd      nd      nd  
Fornax-dE        nid              2.6664722  -34.4491667  dE       0.14    0.00   TRGB/RRLyr    0.055  -13.000   0.200  999999   99999       5.0     0.0   31          10.40    0.70    0.49    0.07    7.693    0.069    5.80    0.00    nd      nd      nd  
NGC1023          nid              2.6733293   39.0632533  SB0     11.43    1.00   SBF           0.201  -21.140   0.200 -24.074   0.102     490.0    30.0   100a       209.00   10.00    2.19    0.15   10.950    0.040    8.14    0.03    7.64    0.04    0.04
